Measurement Units,count,concept_id,concept_code
unknown,94.99533820566032,,
mg/dl,84.24915035038649,8840.0,mg/dl
g/dl,83.7619176516587,8713.0,g/dl
%,83.74988721465307,8554.0,%
mmol/l,83.56040783181449,8753.0,mmol/l
thous/mcl,82.8205359559686,,
fl,82.81151312821439,8583.0,fl
mill/mcl,82.81151312821439,,
pg,82.81151312821439,8564.0,pg
sec,51.16544858491985,,
u/l,43.992300520316405,,
#/hpf,32.139312460525126,,
/hpf,32.13630485127372,,
/lpf,32.13630485127372,,
mmhg,30.127221871334477,,
ng/ml,21.23071370567536,8842.0,ng/ml
miu/ml,17.847153297843544,,
pg/ml,15.20346476585762,8845.0,pg/ml
ng/l,12.23495443471984,8725.0,ng/l
iu/ml,11.314626003789588,,
uiu/ml,10.472495413395892,,
mcg/dl,10.108574693975758,,
mcg/ml,9.961201840656862,,
mm/hr,7.479924208246865,,
ng/dl,7.1641252368492285,8817.0,ng/dl
/100 wbc,6.743059941652381,,
sec.,6.604709916087701,,
mm,5.47685644681043,8588.0,mm
mosm/kg,5.374597732262624,8862.0,mosm/kg
/cumm,4.505398658606274,,
ml/dl,3.979067039610214,9570.0,ml/dl
ng/ml feu,3.6662756774639838,,
degree,3.446720202111342,,
u/ml,2.872266835092785,,
mcmol/l,2.7700081205449787,,
mg/l,2.4752624139071853,8751.0,mg/l
mg,2.4512015398959366,8576.0,mg
thous/ cu mm,2.3970645733706277,,
index,2.3549580438509428,,
titer,2.348942825348131,,
iv,1.7414057565641072,,
au/ml,1.6992992270444225,,
deg c,1.2812415410989804,,
nmol/l,1.2601882763391379,8736.0,nmol/l
iu/l,1.0857469397575865,,
log iu/ml,1.0286023639808717,,
ml/min/sq m bsa,0.9895034437125928,,
od,0.8090468886282294,,
ug/ml,0.6887425185719871,8859.0,ug/ml
mg mical/gm cre,0.6466359890523024,,
g/l,0.6466359890523024,8636.0,g/l
cu,0.5594153207615267,,
units,0.5383620560016842,,
ml/min/1.73 m2,0.529339228247466,,
umol/l,0.5022707449848116,8749.0,umol/l
ml,0.4842250894763752,8587.0,ml
hours,0.4421185599566904,,
ratio,0.42708051369966016,,
g/tot vol,0.3819663749285693,,
gpl,0.3579055009173208,,
/mcl,0.3579055009173208,,
mpl,0.3579055009173208,,
copies/ml,0.3308370176546663,,
log10,0.3248217991518542,,
ug/l,0.29173809738638756,8748.0,ug/l
ug/g,0.24963156786670276,8720.0,ug/g
mg/day,0.2406087401124846,,
mg/d,0.21354025684983008,,
ng/ml/hr,0.21354025684983008,,
ug/dl,0.21053264759842402,8837.0,ug/dl
not reported,0.19549460134139374,,
pmol/l,0.1834641643357695,8729.0,pmol/l
deg,0.16541850882733314,9484.0,deg
meq/l,0.16541850882733314,,
bands,0.13835002556467865,,
log copies/ml,0.13835002556467865,,
tsi index,0.1353424163132726,,
isr,0.1323348070618665,,
%ppt,0.12932719781046045,,
mcg/ml feu,0.12932719781046045,,
mcg/min,0.1263195885590544,,
mg/24 hrs,0.1263195885590544,,
ml/min,0.12331197930764835,8795.0,ml/min
apl,0.1203043700562423,,
ug/d,0.1203043700562423,,
mmol/tot vol,0.11729676080483624,,
ug/g crt,0.11729676080483624,,
sau,0.11428915155343017,,
pru,0.10526632379921201,,
liv,0.09624349604499383,,
cpy/ml,0.0842130590393696,,
cae units,0.07819784053655748,,
log,0.07519023128515144,,
micro iu/ml,0.06015218502812115,,
mg/g,0.057144575776715084,8723.0,mg/g
tu,0.054136966525309034,,
ng/ml atp,0.05112935727390297,,
u,0.03909892026827874,9648.0,u
mg/gcr,0.030076092514060574,,
mg/tv,0.027068483262654517,,
ku/l,0.024060874011248456,,
cp,0.024060874011248456,8479.0,cp
g,0.0210532647598424,8504.0,g
g,0.0210532647598424,9502.0,g
h,0.0210532647598424,8505.0,h
h,0.0210532647598424,8518.0,h
mcg/l,0.018045655508436342,,
eu/dl,0.018045655508436342,,
hr,0.015038046257030287,,
% fat,0.015038046257030287,,
aps,0.012030437005624228,,
gps,0.012030437005624228,,
mps,0.012030437005624228,,
mins,0.012030437005624228,,
u/g hb,0.012030437005624228,,
nmol/ml,0.009022827754218171,8843.0,nmol/ml
umol/d,0.009022827754218171,,
umol/mol crt,0.009022827754218171,,
mg/24hr,0.006015218502812114,,
g/24 h,0.006015218502812114,,
umol/g crt,0.006015218502812114,,
uge/ml,0.003007609251406057,,
ratio serum:h2o,0.003007609251406057,,
bu,0.003007609251406057,,
nm bce,0.003007609251406057,,
score,0.003007609251406057,,
mg/tot vol,0.003007609251406057,,
nmol/g,0.003007609251406057,9609.0,nmol/g
